Tên vật phẩm,Chỉ số cơ bản,Số lần nâng cấp,Yêu cầu,Phân loại,Job,Máy xổ số
Cuộn giấy dao găm tăng tấn công vật lý 10%,10%,,,Scroll,,Thành phố hỗn loạn
Cuộn giấy áo toàn thân tăng khéo léo 10%,10%,,,Scroll,,Thành phố hỗn loạn
Cuộn giấy áo toàn thân tăng may mắn 10%,10%,,,Scroll,,Thành phố hỗn loạn
Scroll for Katara for ATT 10%,10%,,,Scroll,,Thành phố hỗn loạn
(Quỷ) Cuộn giấy vuốt tăng tấn công vật lý 70%,70%,,,Scroll,,Thành phố hỗn loạn
(Quỷ) Cuộn giấy dao găm tăng tấn công vật lý 30%,30%,,,Scroll,,Thành phố hỗn loạn
(Quỷ) Cuộn giấy áo toàn thân tăng khéo léo 30%,30%,,,Scroll,,Thành phố hỗn loạn
(Quỷ) Cuộn giấy áo toàn thân tăng may mắn 30%,30%,,,Scroll,,Thành phố hỗn loạn
(Quỷ) Cuộn giấy găng tay tăng tấn công vật lý 30%,30%,,,Scroll,,Thành phố hỗn loạn
Khăn trùm đầu đỏ,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Thành phố hỗn loạn
Khăn trùm đầu tím,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Thành phố hỗn loạn
Khăn trùm đầu hồng,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Thành phố hỗn loạn
Khăn trùm đầu xám,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Thành phố hỗn loạn
Mũ cáo đêm đỏ,Tự vào game xem đi,7,Lười ghi bome,Mũ,Thief,Thành phố hỗn loạn
Khăn trùm đầu nâu,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Thành phố hỗn loạn
Khăn trùm đầu xanh,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Thành phố hỗn loạn
Khăn trùm đầu đen,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Thành phố hỗn loạn
Khăn trùm đầu vàng,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Thành phố hỗn loạn
Mũ diều hâu nâu,Tự vào game xem đi,7,Lười ghi bome,Mũ,Thief,Thành phố hỗn loạn
Mũ trùm đầu nhãn đen,Tự vào game xem đi,7,Lười ghi bome,Mũ,Thief,Thành phố hỗn loạn
Áo giáp bò cạp đen,Tự vào game xem đi,7,Lười ghi bome,Áo,Thief,Thành phố hỗn loạn
Áo giáp lưới đen,Tự vào game xem đi,7,Lười ghi bome,Áo,Thief,Thành phố hỗn loạn
Áo liềm nâu hạt dẻ,Tự vào game xem đi,7,Lười ghi bome,Áo,Thief,Thành phố hỗn loạn
Áo trung quốc đỏ,Tự vào game xem đi,7,Lười ghi bome,Áo,Thief,Thành phố hỗn loạn
Áo bọ ngựa nâu đen,Tự vào game xem đi,7,Lười ghi bome,Áo,Thief,Thành phố hỗn loạn
Quần bò cạp sẫm,Tự vào game xem đi,7,Lười ghi bome,Quần,Thief,Thành phố hỗn loạn
Quần liềm hạt dẻ,Tự vào game xem đi,7,Lười ghi bome,Quần,Thief,Thành phố hỗn loạn
Quần phồng bó ống đỏ,Tự vào game xem đi,7,Lười ghi bome,Quần,Thief,Thành phố hỗn loạn
Quần bọ ngựa nâu đen,Tự vào game xem đi,7,Lười ghi bome,Quần,Thief,Thành phố hỗn loạn
Găng tay mặt trăng nâu,Tự vào game xem đi,5,Lười ghi bome,Găng tay,Thief,Thành phố hỗn loạn
Găng tay ác nhân vàng,Tự vào game xem đi,5,Lười ghi bome,Găng tay,Thief,Thành phố hỗn loạn
Găng tay hải tặc vàng,Tự vào game xem đi,5,Lười ghi bome,Găng tay,Thief,Thành phố hỗn loạn
Giày rong tảo đen,Tự vào game xem đi,5,Lười ghi bome,Giày,Thief,Thành phố hỗn loạn
Giày san hô đỏ,Tự vào game xem đi,5,Lười ghi bome,Giày,Thief,Thành phố hỗn loạn
Giày thần bí đỏ,Tự vào game xem đi,5,Lười ghi bome,Giày,Thief,Thành phố hỗn loạn
Vuốt bọ hung đen,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Thief,Thành phố hỗn loạn
Vuốt huyết khổng lồ,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Thief,Thành phố hỗn loạn
Vuốt máu,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Thief,Thành phố hỗn loạn
Vuốt đồng khổng lồ,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Thief,Thành phố hỗn loạn
Vuốt bọ hung nâu,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Thief,Thành phố hỗn loạn
Vuốt đen khổng lồ,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Thief,Thành phố hỗn loạn
Vuốt sát thủ bóng tối,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Thief,Thành phố hỗn loạn
Dao trí mạng,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Thief,Thành phố hỗn loạn
Vuốt bọ hung xanh lá,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Thief,Thành phố hỗn loạn
Dao tử thần,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Thief,Thành phố hỗn loạn
Dao ba chỉa,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,"Thief, Warrior",Thành phố hỗn loạn
Vuốt sa-phia khổng lồ,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Thief,Thành phố hỗn loạn
Vuốt sa-phia,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Thief,Thành phố hỗn loạn
Dao lưỡi rắn,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,"Thief, Warrior",Thành phố hỗn loạn
Dao găm hai đầu,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Thief,Thành phố hỗn loạn
Vuốt thép,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Thief,Thành phố hỗn loạn
Quạt hàn quốc,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,FULL,Thành phố hỗn loạn
Ascalon Katara,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Dual Blade,Thành phố hỗn loạn
Heavenly Katara,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Dual Blade,Thành phố hỗn loạn
Cuộn giấy vuốt tăng tấn công vật lý 60%,60%,,,Scroll,,Thành phố hỗn loạn
Cuộn giấy dao găm tăng tấn công vật lý 60%,60%,,,Scroll,,Thành phố hỗn loạn
Cuộn giấy áo toàn thân tăng khéo léo 60%,60%,,,Scroll,,Thành phố hỗn loạn
Cuộn giấy áo toàn thân tăng may mắn 60%,60%,,,Scroll,,Thành phố hỗn loạn
Cuộn giấy găng tay tăng tấn công vật lý 60%,60%,,,Scroll,,Thành phố hỗn loạn
(Quỷ) Cuộn giấy vuốt tăng tấn công vật lý 70%,70%,,,Scroll,,Thành phố hỗn loạn
(Quỷ) Cuộn giấy dao găm tăng tấn công vật lý 70%,70%,,,Scroll,,Thành phố hỗn loạn
(Quỷ) Cuộn giấy áo toàn thân tăng khéo léo 70%,70%,,,Scroll,,Thành phố hỗn loạn
(Quỷ) Cuộn giấy áo toàn thân tăng may mắn 70%,70%,,,Scroll,,Thành phố hỗn loạn
(Quỷ) Cuộn giấy găng tay tăng tấn công vật lý 70%,70%,,,Scroll,,Thành phố hỗn loạn
Scroll for Katara for ATT 60%,60%,,,Scroll,,Thành phố hỗn loạn
Advanced Equip Enhancement Scroll,,,,Scroll,,Thành phố hỗn loạn
Mũ cướp biển đen,Tự vào game xem đi,7,Lười ghi bome,Mũ,Thief,Thành phố hỗn loạn
Mũ dây nịt đỏ,Tự vào game xem đi,7,Lười ghi bome,Mũ,Thief,Thành phố hỗn loạn
Áo nữ hải tặc sẫm,Tự vào game xem đi,7,Lười ghi bome,Áo,Thief,Thành phố hỗn loạn
Áo hải tặc đen,Tự vào game xem đi,7,Lười ghi bome,Áo,Thief,Thành phố hỗn loạn
Áo hiệp khách đỏ,Tự vào game xem đi,7,Lười ghi bome,Áo,Thief,Thành phố hỗn loạn
Váy hải tặc sẫm,Tự vào game xem đi,7,Lười ghi bome,Quần,Thief,Thành phố hỗn loạn
Quần cướp biển đỏ,Tự vào game xem đi,7,Lười ghi bome,Quần,Thief,Thành phố hỗn loạn
Áo đuôi mèo sẫm,Tự vào game xem đi,7,Lười ghi bome,Áo,Thief,Thành phố hỗn loạn
Bộ miêu nữ đen,Tự vào game xem đi,7,Lười ghi bome,Áo,Thief,Thành phố hỗn loạn
Găng tay trộm đạo đỏ,Tự vào game xem đi,5,Lười ghi bome,Găng tay,Thief,Thành phố hỗn loạn
Găng tay rắn hổ đen,Tự vào game xem đi,5,Lười ghi bome,Găng tay,Thief,Thành phố hỗn loạn
Găng tay ngọc thần bí đen,Tự vào game xem đi,5,Lười ghi bome,Găng tay,Thief,Thành phố hỗn loạn
Giày vô ảnh độc hành đen,Tự vào game xem đi,5,Lười ghi bome,Giày,Thief,Thành phố hỗn loạn
Giày hải tặc đen,Tự vào game xem đi,5,Lười ghi bome,Giày,Thief,Thành phố hỗn loạn
Giày hiệp khách tím,Tự vào game xem đi,5,Lười ghi bome,Giày,Thief,Thành phố hỗn loạn
Áo choàng thần đất hồng,+ATT,5,LV: 65,Áo choàng,FULL,Thành phố hỗn loạn
Thiên thần phản bội,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,"Thief, Warrior",Thành phố hỗn loạn
Vuốt mãng xà,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Thief,Thành phố hỗn loạn
Huyết đao,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Thief,Thành phố hỗn loạn
Vuốt hổ,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Thief,Thành phố hỗn loạn
Dao nguyền rủa,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,"Thief, Warrior",Thành phố hỗn loạn
Nỏ én đen,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Bowman,Thành phố hỗn loạn
Đuôi rồng,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Thief,Thành phố hỗn loạn
Dao đôi vàng,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,"Thief, Warrior",Thành phố hỗn loạn
Khiên du hiệp Maple,Tự vào game xem đi,10,Lười ghi bome,Khiên,Thief,Thành phố hỗn loạn
Vuốt móng đỏ,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Thief,Thành phố hỗn loạn
Vuốt vàng,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Thief,Thành phố hỗn loạn
Neva,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Thief,Thành phố hỗn loạn
Khiên dao găm,Tự vào game xem đi,7,Lười ghi bome,Khiên,Thief,Thành phố hỗn loạn
Blazing Dragon Katara,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Dual Blade,Thành phố hỗn loạn
Bloodsoaked Katara,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Dual Blade,Thành phố hỗn loạn
Meteor Katara,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Dual Blade,Thành phố hỗn loạn
Ghế xanh lục,,,,Chair,,Thành phố hỗn loạn
Ghế cánh dơi tía,,,,Chair,,Thành phố hỗn loạn
Đệm hải cẩu trắng,,,,Chair,,Thành phố hỗn loạn
Thuốc tiên,,,,Use,,Bến cảng cướp biển
Phô mai tan,,,,Use,,Bến cảng cướp biển
thuốc tiên lớn,,,,Use,,Bến cảng cướp biển
Dưa hấu,,,,Use,,Bến cảng cướp biển
Cuộn giấy khiên tăng tấn công pháp thuật 10%,10%,,,Scroll,,Bến cảng cướp biển
Cuộn giấy súng tăng tấn công vật lý 10%,10%,,,Scroll,,Bến cảng cướp biển
Cuộn giấy găng đấm tăng tấn công vật lý 10%,10%,,,Scroll,,Bến cảng cướp biển
Cuộn giấy khiên tăng tấn công vật lý 10%,10%,,,Scroll,,Bến cảng cướp biển
Cuộn giấy áo toàn thân tăng sức mạnh 10%,10%,,,Scroll,,Bến cảng cướp biển
Scroll for Hand Cannon for ATT 10%,10%,,,Scroll,,Bến cảng cướp biển
(Quỷ) Cuộn giấy găng tay tăng tấn công vật lý 30%,30%,,,Scroll,,Bến cảng cướp biển
Cuộn giấy găng tay tăng tấn công pháp thuật 100%,100%,,,Scroll,,Bến cảng cướp biển
(Quỷ) Cuộn giấy súng tăng tấn công vật lý 30%,30%,,,Scroll,,Bến cảng cướp biển
(Quỷ) Cuộn giấy găng đấm tăng tấn công vật lý 30%,30%,,,Scroll,,Bến cảng cướp biển
(Quỷ) Cuộn giấy áo toàn thân tăng khéo léo 30%,30%,,,Scroll,,Bến cảng cướp biển
(Quỷ) Cuộn giấy áo toàn thân tăng sức mạnh 30%,30%,,,Scroll,,Bến cảng cướp biển
Scroll for Hand Cannon for ATT 70%,70%,,,Scroll,,Bến cảng cướp biển
Mũ đuôi sam,Tự vào game xem đi,7,Lười ghi bome,Mũ,Priate,Bến cảng cướp biển
Mũ đại dương nâu,Tự vào game xem đi,7,Lười ghi bome,Mũ,Priate,Bến cảng cướp biển
Khăn trùm đầu đỏ,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Bến cảng cướp biển
Khăn trùm đầu tím,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Bến cảng cướp biển
Khăn trùm đầu hồng,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Bến cảng cướp biển
Khăn trùm đầu xám,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Bến cảng cướp biển
Khăn trùm đầu xanh lục,Tự vào game xem đi,10,Lười ghi bome,Mũ,FULL,Bến cảng cướp biển
Khăn trùm đầu nâu,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Bến cảng cướp biển
Khăn trùm cướp biển,Tự vào game xem đi,7,Lười ghi bome,Mũ,Priate,Bến cảng cướp biển
Khăn trùm đầu đen,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Bến cảng cướp biển
Khăn trùm đầu vàng,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Bến cảng cướp biển
Black royal barone,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Priate,Bến cảng cướp biển
Green plasteer,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Priate,Bến cảng cướp biển
Red viska,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Priate,Bến cảng cướp biển
Găng tay đen gắn bi,Tự vào game xem đi,5,Lười ghi bome,Găng tay,Priate,Bến cảng cướp biển
Găng tay thoát khí đen,Tự vào game xem đi,5,Lười ghi bome,Găng tay,Priate,Bến cảng cướp biển
Găng tay hở ngón màu cà phê,Tự vào game xem đi,5,Lười ghi bome,Găng tay,Priate,Bến cảng cướp biển
Giày ống đen,Tự vào game xem đi,5,Lười ghi bome,Giày,Priate,Bến cảng cướp biển
Giày ống hạt nhãn,Tự vào game xem đi,5,Lười ghi bome,Giày,Priate,Bến cảng cướp biển
Súng địa ngục,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Priate,Bến cảng cướp biển
Găng bách thắng,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Priate,Bến cảng cướp biển
Súng lửa trời,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Priate,Bến cảng cướp biển
Găng thịnh nộ,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Priate,Bến cảng cướp biển
Súng thiên đường,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Priate,Bến cảng cướp biển
Găng diều hâu,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Priate,Bến cảng cướp biển
Cuộn giấy găng tay tăng tấn công vật lý 60%,60%,,,Scroll,,Bến cảng cướp biển
(Quỷ) Cuộn giấy găng tay tăng tấn công vật lý 70%,70%,,,Scroll,,Bến cảng cướp biển
Cuộn giấy súng tăng tấn công vật lý 60%,60%,,,Scroll,,Bến cảng cướp biển
(Quỷ) Cuộn giấy súng tăng tấn công vật lý 70%,70%,,,Scroll,,Bến cảng cướp biển
Cuộn giấy găng đấm tăng tấn công vật lý 60%,60%,,,Scroll,,Bến cảng cướp biển
(Quỷ) Cuộn giấy găng đấm tăng tấn công vật lý 70%,70%,,,Scroll,,Bến cảng cướp biển
Cuộn giấy áo toàn thân tăng khéo léo 60%,60%,,,Scroll,,Bến cảng cướp biển
(Quỷ) Cuộn giấy áo toàn thân tăng khéo léo 70%,70%,,,Scroll,,Bến cảng cướp biển
Cuộn giấy áo toàn thân tăng sức mạnh 60%,60%,,,Scroll,,Bến cảng cướp biển
(Quỷ) Cuộn giấy áo toàn thân tăng sức mạnh 70%,70%,,,Scroll,,Bến cảng cướp biển
Cuộn giấy khiên tăng sức mạnh 60%,60%,,,Scroll,,Bến cảng cướp biển
Scroll for Hand Cannon for ATT 60%,60%,,,Scroll,,Bến cảng cướp biển
Advanced Equip Enhancement Scroll,,,,Scroll,,Bến cảng cướp biển
Kính quang phổ,Tự vào game xem đi,3,Lười ghi bome,Mắt kính,FULL,Bến cảng cướp biển
Mũ đại dương viền vàng,Tự vào game xem đi,7,Lười ghi bome,Mũ,Priate,Bến cảng cướp biển
Mũ đuôi sam đỏ,Tự vào game xem đi,7,Lười ghi bome,Mũ,Priate,Bến cảng cướp biển
Red Belly Duke,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Priate,Bến cảng cướp biển
White marquini,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Priate,Bến cảng cướp biển
White pioneer,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Priate,Bến cảng cướp biển
Găng tay nửa xanh,Tự vào game xem đi,5,Lười ghi bome,Găng tay,Priate,Bến cảng cướp biển
Vòng tay hải tặc đỏ,Tự vào game xem đi,5,Lười ghi bome,Găng tay,Priate,Bến cảng cướp biển
Giày rồng cuộn,Tự vào game xem đi,5,Lười ghi bome,Giày,Priate,Bến cảng cướp biển
Giày cao cổ đen,Tự vào game xem đi,5,Lười ghi bome,Giày,Priate,Bến cảng cướp biển
Áo choàng thần đất tím,+M.ATT,5,LV: 65,Áo choàng,FULL,Bến cảng cướp biển
Súng cầu vồng,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Priate,Bến cảng cướp biển
Nỏ én đen,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Bowman,Bến cảng cướp biển
Súng vô tận,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Priate,Bến cảng cướp biển
Găng thép đỏ,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Priate,Bến cảng cướp biển
Găng lông gấu trắng,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Priate,Bến cảng cướp biển
Phao hồng phấn (găng đấm),Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Priate,Bến cảng cướp biển
Phao hống phấn (súng),Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Priate,Bến cảng cướp biển
Găng hoàng gia,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Priate,Bến cảng cướp biển
The bigshot,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Cannoneer,Bến cảng cướp biển
Infemalizer,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Cannoneer,Bến cảng cướp biển
Deck sweeper,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Cannoneer,Bến cảng cướp biển
Bilge breaker,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Cannoneer,Bến cảng cướp biển
Ghế cây cọ,,,,Chair,,Bến cảng cướp biển
Sô-cô-la,,,,Use,,Rừng ngủ say
Thuốc tiên,,,,Use,,Rừng ngủ say
Thuốc tiên lớn,,,,Use,,Rừng ngủ say
Cuộn giấy quay về thị trấn gần nhất,,,,Use,,Rừng ngủ say
Bò húc thái,,,,Use,,Rừng ngủ say
Đạn sống,,,,Đạn,Priate,Rừng ngủ say
Dưa hấu,,,,Use,,Rừng ngủ say
Cuộn giấy quần tăng khéo léo 10%,10%,,,Scroll,,Rừng ngủ say
Cuộn giấy áo choàng tăng sinh lực 10%,10%,,,Scroll,,Rừng ngủ say
Cuộn giấy áo choàng tăng nội lực 10%,10%,,,Scroll,,Rừng ngủ say
Cuộn giấy găng tay tăng khéo léo 10%,10%,,,Scroll,,Rừng ngủ say
Cuộn giấy găng tay tăng sinh lực 100%,100%,,,Scroll,,Rừng ngủ say
Cuộn giấy găng tay tăng sinh lực 10%,10%,,,Scroll,,Rừng ngủ say
Cuộn giấy kiếm đơn tăng tấn công pháp thuật 100%,100%,,,Scroll,,Rừng ngủ say
Cuộn giấy áo toàn thân tăng phòng thủ 100%,100%,,,Scroll,,Rừng ngủ say
Cuộn giấy áo toàn thân tăng phòng thủ 10%,10%,,,Scroll,,Rừng ngủ say
Cuộn giấy áo toàn thân tăng khéo léo 100%,100%,,,Scroll,,Rừng ngủ say
Cuộn giấy áo toàn thân tăng khéo léo 10%,10%,,,Scroll,,Rừng ngủ say
Cuộn giấy áo toàn thân tăng may mắn 100%,100%,,,Scroll,,Rừng ngủ say
Cuộn giấy áo toàn thân tăng may mắn 10%,10%,,,Scroll,,Rừng ngủ say
Cuộn giấy áo toàn thân tăng sức mạnh 100%,100%,,,Scroll,,Rừng ngủ say
Cuộn giấy áo toàn thân tăng sức mạnh 10%,10%,,,Scroll,,Rừng ngủ say
Cuộn giấy trang bị thú cưng tăng lực nhảy 100%,100%,,,Scroll,,Rừng ngủ say
Cuộn giấy trang bị thú cưng tăng lực nhảy 10%,10%,,,Scroll,,Rừng ngủ say
Cuộn giấy trang bị thú cưng tăng tốc độ 100%,100%,,,Scroll,,Rừng ngủ say
Cuộn giấy trang bị thú cưng tăng tốc độ 10%,10%,,,Scroll,,Rừng ngủ say
Cuộn giấy khiên tăng tấn công pháp thuật 10%,10%,,,Scroll,,Rừng ngủ say
Cuộn giấy khiên tăng tấn công vật lý 10%,10%,,,Scroll,,Rừng ngủ say
Cuộn giấy giày tăng khéo léo 10%,10%,,,Scroll,,Rừng ngủ say
Cuộn giấy giày tăng lực nhảy 100%,100%,,,Scroll,,Rừng ngủ say
Cuộn giấy giày tăng tốc độ 100%,100%,,,Scroll,,Rừng ngủ say
Cuộn giấy giày tăng tốc độ 10%,10%,,,Scroll,,Rừng ngủ say
Cuộn giấy áo tăng may mắn 10%,10%,,,Scroll,,Rừng ngủ say
Cuộn giấy áo tăng sức mạnh 10%,10%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy quần tăng khéo léo 30%,30%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy quần tăng lực nhảy 30%,30%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy áo choàng tăng khéo léo 30%,30%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy áo choàng tăng sinh lực 30%,30%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy áo choàng tăng trí tuệ 30%,30%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy áo choàng tăng may mắn 30%,30%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy áo choàng tăng sức mạnh 30%,30%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy hoa tai tăng trí tuệ 30%,30%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy hoa tai tăng khéo léo 30%,30%,,,Scroll,,Rừng ngủ say
Cuộn giấy găng tay tăng tấn công vật lý 100%,100%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy mũ tăng chính xác 30%,30%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy mũ tăng khéo léo 30%,30%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy mũ tăng sinh lực 30%,30%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy mũ tăng trí tuệ 30%,30%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy áo toàn thân tăng phòng thủ 30%,30%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy áo toàn thân tăng khéo léo 30%,30%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy áo toàn thân tăng may mắn 30%,30%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy áo toàn thân tăng sức mạnh 30%,30%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy giày tăng khéo léo 30%,30%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy áo tăng sức mạnh 10%,10%,,,Scroll,,Rừng ngủ say
Mặt nạ khóc,+JUMP,7,Lười ghi bome,Phụ kiện mặt,FULL,Rừng ngủ say
Lá phong đỏ,+INT,7,Lười ghi bome,Phụ kiện mặt,FULL,Rừng ngủ say
Lá phong đỏ,+STR,7,Lười ghi bome,Phụ kiện mặt,FULL,Rừng ngủ say
Lá phong đỏ,+DEX,7,Lười ghi bome,Phụ kiện mặt,FULL,Rừng ngủ say
Lá phong đỏ,+LUK,7,Lười ghi bome,Phụ kiện mặt,FULL,Rừng ngủ say
Mặt nạ gấu mèo,Tự vào game xem đi,7,LV: 35,Mắt kính,FULL,Rừng ngủ say
Mặt nạ vui vẻ,+SPEED,7,Lười ghi bome,Phụ kiện mặt,FULL,Rừng ngủ say
Mũ khúc côn cầu đen,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Rừng ngủ say
Mũ trùm đầu sao đen,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Rừng ngủ say
Mũ khúc côn cầu xanh,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Rừng ngủ say
Mũ đào vàng,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Rừng ngủ say
Tai chồn nâu,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Rừng ngủ say
Mũ khúc côn cầu tím,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Rừng ngủ say
Mũ thợ làm đồ chơi,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Rừng ngủ say
Mũ trùm đầu sao trắng,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Rừng ngủ say
Găng tay lao động xanh,Tự vào game xem đi,5,Lười ghi bome,Găng tay,FULL,Rừng ngủ say
Găng tay lao động xám,Tự vào game xem đi,5,Lười ghi bome,Găng tay,FULL,Rừng ngủ say
Găng tay lao động tím,Tự vào game xem đi,5,Lười ghi bome,Găng tay,FULL,Rừng ngủ say
Găng tay lao động đỏ,Tự vào game xem đi,5,Lười ghi bome,Găng tay,FULL,Rừng ngủ say
Xăng đan có quai hậu đen,Tự vào game xem đi,5,Lười ghi bome,Giày,FULL,Rừng ngủ say
Xăng đan có quai hậu xanh lục,+SPEED,5,Lười ghi bome,Giày,FULL,Rừng ngủ say
Thương tre,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,FULL,Rừng ngủ say
Cành tre hoa quả,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,FULL,Rừng ngủ say
Vòng lắc,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,FULL,Rừng ngủ say
Bảng pha màu,Tự vào game xem đi,7,Lười ghi bome,Khiên,FULL,Rừng ngủ say
Nấm độc,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Magician,Rừng ngủ say
Dù đỏ,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,FULL,Rừng ngủ say
Cuộn giấy quần tăng khéo léo 60%,60%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy quần tăng sinh lực 70%,70%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy quần tăng lực nhảy 70%,70%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy áo choàng tăng khéo léo 70%,70%,,,Scroll,,Rừng ngủ say
